ril_gen,ril,gen,ht_ctrl,ht_t,spad_ctrl,spad_t,rwc_ctrl,rwc_t,agb_ctrl,agb_t,bgb_ctrl,bgb_t,lt_ctrl,lt_t
L16_F4,L16,F4,13.2,11,29.3,NA,95.23809524,NA,0.4456,0.1714,0.2437,0.1603,NA,NA
L16_F4,L16,F4,11.9,8.4,32.8,22.5,92,7.246376812,0.5706,0.2411,0.2484,0.1306,NA,NA
L16_F4,L16,F4,14.1,12.6,25.9,28.7,85.96491228,84.61538462,0.4544,0.1829,0.1811,0.151,NA,NA
L16_F4,L16,F4,15.9,10.1,25.7,9.4,88.0952381,82.22222222,0.3266,0.2029,0.1211,0.1211,NA,NA
L17_F5,L17,F5,13.5,8.9,29.3,22.9,102.5974026,27.27272727,0.8141,0.3145,0.4802,0.1391,28.6,32.5
L17_F5,L17,F5,11.4,9.4,33.1,22.4,86.11111111,66.66666667,0.9719,0.1757,0.2509,0.0636,29.7,34.7
L17_F5,L17,F5,14,11.4,31.2,29.9,93.24324324,20,0.9814,0.2416,0.3595,0.0783,NA,NA
L17_F5,L17,F5,15.9,7.9,27.2,NA,90.38461538,NA,1.1819,0.2117,0.4119,0.0566,NA,NA
L18_F5,L18,F5,16,7.4,30.4,18.4,102.0833333,2.040816327,0.4666,0.0958,0.3544,0.0662,26,31.5
L18_F5,L18,F5,12,11,30.1,29.7,81.08108108,76.74418605,0.5232,0.2994,0.1253,0.1786,27.5,34.8
L18_F5,L18,F5,17.6,11,30.2,20,84.53608247,15.15151515,0.638,0.1452,0.4526,0.1363,NA,NA
L18_F5,L18,F5,15.5,7.8,31.1,25.1,75.86206897,92.85714286,0.5313,0.2019,0.1463,0.0931,NA,NA
L19_F3,L19,F3,14,5.4,25.7,NA,98.64864865,NA,0.5297,0.0941,0.4614,0.0951,30.6,31.5
L19_F3,L19,F3,12.9,12.2,26.2,15.3,94.38202247,94.28571429,0.5658,0.1348,0.3129,0.093,30.8,37
L19_F3,L19,F3,18.9,12.1,29.5,NA,81.15942029,NA,0.7478,0.1738,0.2072,0.1019,NA,NA
L19_F3,L19,F3,17.5,8.6,29.2,17,87.5,28.57142857,0.8769,0.3636,0.3882,0.2216,NA,NA
L2_F4,L2,F4,12.6,10,26.6,20.9,104,-16.07142857,0.8728,0.1944,0.3351,0.1569,28.2,33.5
L2_F4,L2,F4,13.2,9.6,22.9,29.3,94.73684211,62.68656716,0.6479,0.2178,0.3566,0.0954,25.7,33.8
L2_F4,L2,F4,14.9,8.4,25.3,25.3,92.5,66.66666667,0.9305,0.2321,0.3532,0.1903,NA,NA
L2_F4,L2,F4,16.1,8.2,26.6,19.8,79.16666667,91.93548387,0.5328,0.2278,0.4427,0.1089,NA,NA
L20_F5,L20,F5,15.8,9.7,29.5,15.4,109.5238095,-19.04761905,0.9599,0.1636,0.3414,0.0695,NA,NA
L20_F5,L20,F5,17.5,11.2,27.6,NA,79.10447761,NA,0.9067,0.2227,0.2792,0.0822,NA,NA
L20_F5,L20,F5,15,11.5,27.9,22.3,95,50,0.5354,0.2116,0.1616,0.0857,NA,NA
L20_F5,L20,F5,16.2,11.7,27.7,NA,86.15384615,NA,0.6194,0.0226,0.4243,0.0628,NA,NA
L21_F4,L21,F4,14,7.6,29.2,22.5,91.89189189,33.33333333,0.4181,0.16966,0.0788,0.1028,NA,NA
L21_F4,L21,F4,11.1,9.8,30.1,34.6,98,40.42553191,0.4707,0.2077,0.1733,0.0684,NA,NA
L21_F4,L21,F4,14.4,9.4,32.1,20.6,87.3015873,20.43010753,0.6905,0.1081,0.3423,0.0735,NA,NA
L21_F4,L21,F4,16.2,9.1,32.9,22.4,89.18918919,50,0.781,0.2364,0.3211,0.1154,NA,NA
L22_F5,L22,F5,14.1,11.6,27.1,21.2,86,13.23529412,0.6691,0.1992,0.2127,0.0758,29.7,34.7
L22_F5,L22,F5,12.3,11,22.9,20.6,94.73684211,75,0.4772,0.2677,0.2274,0.0983,28.1,35.7
L22_F5,L22,F5,14.8,10.9,23.5,27.3,100,87.71929825,0.6803,0.155,0.2414,0.0644,NA,NA
L22_F5,L22,F5,14,9.1,25.5,NA,85.71428571,NA,0.6241,0.2173,0.1782,0.0631,NA,NA
L23_F5,L23,F5,13.8,8.9,28.7,14.7,99.08256881,27.3255814,0.5836,0.2736,0.2529,0.1091,25.3,32
L23_F5,L23,F5,17,8.9,31.2,NA,98.48484848,NA,0.721,0.3036,0.2287,0.1758,30.4,36.4
L23_F5,L23,F5,14.3,9.4,29.8,16.2,83.33333333,107.6923077,0.7662,0.1568,0.2339,0.0916,NA,NA
L23_F5,L23,F5,13.1,7.1,23.6,20.9,97.33333333,91.42857143,0.5509,0.1754,0.2004,0.0975,NA,NA
L24_F5,L24,F5,11.7,8.3,29.5,33.2,94.59459459,15.46391753,0.5752,0.1596,0.2271,0.0761,31.1,35.5
L24_F5,L24,F5,13.8,8,29.5,18.4,86.66666667,70,0.7749,0.1464,0.1883,0.0622,28,33.7
L24_F5,L24,F5,11.3,7.3,29.6,NA,93.75,NA,0.5283,0.2762,0.1996,0.1095,NA,NA
L24_F5,L24,F5,11.4,9.2,29.5,43.5,92.30769231,75.86206897,0.4272,0.2042,0.1039,0.1154,NA,NA
L26_F5,L26,F5,11,7.7,29.3,29.6,100,21.8487395,0.8732,0.2287,0.2777,0.09,NA,NA
L26_F5,L26,F5,12.2,8.1,32.4,20.5,88.15789474,81.25,0.5253,0.1388,0.1282,0.0592,NA,NA
L26_F5,L26,F5,10.2,8.1,29.5,NA,86.95652174,27.27272727,0.3834,0.2337,0.1437,0.1636,NA,NA
L26_F5,L26,F5,11.6,8.2,32.9,NA,91.66666667,NA,0.4771,0.16,0.1837,0.112,NA,NA
L27_F4,L27,F4,10.2,8.4,23.5,21.5,85.36585366,10.81081081,0.137,0.2163,0.6037,0.1436,NA,NA
L27_F4,L27,F4,12.1,7.7,30.3,23.3,95,73.4939759,0.4609,0.1872,0.2683,0.1214,NA,NA
L27_F4,L27,F4,18.4,10,26.7,NA,92.5,NA,0.5667,0.1609,0.2841,0.0947,NA,NA
L27_F4,L27,F4,17.2,9.3,29.4,NA,84.74576271,NA,0.6676,0.1521,0.2963,0.0857,NA,NA
L28_F5,L28,F5,9.2,7,28.7,21,85.71428571,20,0.5889,0.2296,0.2099,0.1017,29.4,32.1
L28_F5,L28,F5,10.1,6.3,26.1,20.2,90.78947368,25.88235294,0.5252,0.0427,0.2325,0.0494,31.8,33.8
L28_F5,L28,F5,9.6,6.3,24.8,NA,97.27272727,NA,0.5623,0.2541,0.2097,0.1189,NA,NA
L28_F5,L28,F5,8.4,6.9,33.3,24.5,100,87.27272727,0.3501,0.2079,0.1306,0.0678,NA,NA
L29_F5,L29,F5,9.2,9.4,30.4,22.2,102.1276596,-20,0.9064,0.1955,0.3839,0.1019,30.8,35.5
L29_F5,L29,F5,11.8,6.6,26.1,25.9,94.11764706,42,0.2236,0.1206,0.1163,0.0956,30.7,32.9
L29_F5,L29,F5,12.7,8.9,21.3,NA,100,NA,0.4986,0.2054,0.2409,0.1068,NA,NA
L29_F5,L29,F5,13.8,7.1,31.1,27.1,77.10843373,82.35294118,0.7507,0.1587,0.3421,0.0974,NA,NA
L33_F5,L33,F5,12.5,8.3,31.5,24,5.714285714,82.05128205,0.7143,0.2192,0.3381,0.1713,30.9,33.7
